TimeGenerated,UserPrincipalName,ResultType,IPAddress,Location,DeviceName,DeviceTrustType,AppDisplayName,MFAStatus,RiskLevel
2026-09-08T07:42:00Z,sarah@example.com,0,80.187.101.22,Germany,HAM-LAPTOP-014,AzureADJoined,Microsoft Teams,completed,low
2026-09-08T08:13:00Z,max@example.com,0,80.187.101.30,Germany,HAM-LAPTOP-022,AzureADJoined,Azure Portal,completed,low
2026-09-08T08:55:00Z,jannik@example.com,0,80.187.101.44,Germany,HAM-DESKTOP-001,AzureADJoined,Microsoft Sentinel,completed,low
2026-09-08T09:21:00Z,sarah@example.com,50126,185.220.101.12,Netherlands,UNKNOWN,Unknown,Azure Portal,notCompleted,medium
2026-09-08T09:23:00Z,sarah@example.com,50126,185.220.101.12,Netherlands,UNKNOWN,Unknown,Azure Portal,notCompleted,medium
2026-09-08T09:25:00Z,sarah@example.com,50126,185.220.101.12,Netherlands,UNKNOWN,Unknown,Azure Portal,notCompleted,medium
2026-09-08T09:27:00Z,sarah@example.com,0,185.220.101.12,Netherlands,UNKNOWN,Unknown,Azure Portal,notCompleted,high
2026-09-08T10:10:00Z,max@example.com,0,80.187.101.30,Germany,HAM-LAPTOP-022,AzureADJoined,Azure Portal,completed,low
2026-09-08T11:02:00Z,admin@example.com,50126,45.134.22.9,Russia,UNKNOWN,Unknown,Azure Portal,notCompleted,high
2026-09-08T11:04:00Z,admin@example.com,50126,45.134.22.9,Russia,UNKNOWN,Unknown,Azure Portal,notCompleted,high
2026-09-08T11:06:00Z,admin@example.com,50126,45.134.22.9,Russia,UNKNOWN,Unknown,Azure Portal,notCompleted,high
2026-09-08T11:08:00Z,admin@example.com,50126,45.134.22.9,Russia,UNKNOWN,Unknown,Azure Portal,notCompleted,high
2026-09-08T11:10:00Z,admin@example.com,0,45.134.22.9,Russia,UNKNOWN,Unknown,Azure Portal,notCompleted,high
2026-09-08T12:31:00Z,lena@example.com,0,80.187.101.55,Germany,HAM-LAPTOP-031,AzureADJoined,SharePoint Online,completed,low
2026-09-08T13:15:00Z,sarah@example.com,0,80.187.101.22,Germany,HAM-LAPTOP-014,AzureADJoined,Microsoft Teams,completed,low
